order_id,customer_id,product_id,order_date,ship_date,quantity,unit_price,discount_amount,tax_amount,total_amount,order_status,payment_method,shipping_method
ORD00000001,CUST000522,PROD000028,2025-04-28,2025-05-05,1.0,557.36,0.0,44.59,601.95,Shipped,Bank Transfer,Standard
ORD00000002,CUST000283,PROD000130,2025-03-01,2025-03-08,10.0,246.15,0.0,196.92,2658.42,Cancelled,Credit Card,Standard
ORD00000003,CUST000730,PROD000150,2024-12-19,2024-12-20,3.0,268.78,0.0,64.51,870.85,Completed,Bank Transfer,Express
ORD00000004,CUST000970,PROD000088,2025-09-20,2025-09-21,3.0,732.83,0.0,175.88,2374.37,Completed,PayPal,Standard
ORD00000005,CUST000231,PROD000066,2025-10-09,2025-10-10,9.0,578.33,1014.66,335.22,4525.53,Cancelled,Credit Card,Standard
ORD00000006,CUST000205,PROD000124,2025-06-21,2025-06-22,9.0,566.29,0.0,407.73,5504.34,Shipped,Bank Transfer,Standard
ORD00000007,CUST000466,PROD000131,2025-01-30,2025-02-03,6.0,578.53,0.0,277.69,3748.87,Completed,Debit Card,Overnight
ORD00000008,CUST000023,PROD000130,2025-10-02,2025-10-08,1.0,246.15,19.25,18.15,245.05,Completed,Debit Card,Overnight
ORD00000009,CUST000563,PROD000198,2025-02-12,2025-02-14,10.0,477.53,0.0,382.02,5157.32,Shipped,Bank Transfer,Standard
ORD00000010,CUST000365,PROD000028,2025-02-13,2025-02-16,5.0,557.36,0.0,222.94,3009.74,Pending,Bank Transfer,Standard
ORD00000011,CUST000104,PROD000021,2025-07-14,2025-07-20,7.0,346.87,0.0,194.25,2622.34,Completed,Credit Card,Overnight
ORD00000012,CUST000364,PROD000152,2025-07-07,2025-07-13,4.0,156.19,0.0,49.98,674.74,Cancelled,Debit Card,Express
ORD00000013,CUST000847,PROD000083,2025-09-04,2025-09-07,7.0,498.57,0.0,279.2,3769.19,Completed,Credit Card,Express
ORD00000014,CUST000040,PROD000141,2025-09-19,2025-09-24,2.0,106.35,0.0,17.02,229.72,Completed,Credit Card,Express
ORD00000015,CUST000581,PROD000011,2025-06-04,2025-06-11,5.0,668.57,567.33,222.04,2997.56,Completed,Bank Transfer,Standard
ORD00000016,CUST000644,PROD000018,2025-05-12,2025-05-13,2.0,212.26,67.6,28.55,385.47,Pending,Credit Card,Overnight
ORD00000017,CUST000541,PROD000169,2025-05-27,2025-06-02,10.0,245.67,0.0,196.54,2653.24,Shipped,Credit Card,Standard
ORD00000018,CUST000973,PROD000120,2025-08-26,2025-08-29,7.0,277.43,331.91,128.81,1738.91,Shipped,Bank Transfer,Express
ORD00000019,CUST000359,PROD000157,2025-01-22,2025-01-24,5.0,327.46,207.99,114.34,1543.65,Completed,Debit Card,Express
